theta,R
1.40123E-07,2.4102E-08
2.74527E-07,2.70429E-08
4.12358E-07,3.03427E-08
5.36029E-07,3.4045E-08
6.61453E-07,3.81991E-08
8.20758E-07,4.28601E-08
1.07586E-06,4.80899E-08
1.45054E-06,5.39577E-08
2.13475E-06,6.05416E-08
3.34479E-06,6.79287E-08
5.3692E-06,7.62173E-08
8.56944E-06,8.55172E-08
1.3382E-05,9.59519E-08
2.03119E-05,1.0766E-07
2.99306E-05,1.20796E-07
4.28858E-05,1.35536E-07
5.99287E-05,1.52074E-07
8.19576E-05,1.70629E-07
0.000110072,1.91449E-07
0.000145623,2.1481E-07
0.000190239,2.4102E-07
0.000245819,2.70429E-07
0.00031448,3.03427E-07
0.000398435,3.4045E-07
0.000499835,3.81991E-07
0.000620543,4.28601E-07
0.000761884,4.80899E-07
0.000924373,5.39577E-07
0.001107475,6.05416E-07
0.001309413,6.79287E-07
0.001527089,7.62173E-07
0.001756133,8.55172E-07
0.001991105,9.59519E-07
0.002225847,1.0766E-06
0.002453946,1.20796E-06
0.002669263,1.35536E-06
0.002866456,1.52074E-06
0.003041443,1.70629E-06
0.003191748,1.91449E-06
0.003316704,2.1481E-06
0.003417511,2.4102E-06
0.003497151,2.70429E-06
0.003560204,3.03427E-06
0.003612582,3.4045E-06
0.003661214,3.81991E-06
0.003713692,4.28601E-06
0.00377786,4.80899E-06
0.003861324,5.39577E-06
0.003970845,6.05416E-06
0.004111647,6.79287E-06
0.004286703,7.62173E-06
0.00449615,8.55172E-06
0.004737041,9.59519E-06
0.005003623,1.0766E-05
0.005288249,1.20796E-05
0.005582888,1.35536E-05
0.00588108,1.52074E-05
0.006180014,1.70629E-05
0.006482408,1.91449E-05
0.006797881,2.1481E-05
0.007143597,2.4102E-05
0.007544119,2.70429E-05
0.008030501,3.03427E-05
0.008638737,3.4045E-05
0.009407753,3.81991E-05
0.010377106,4.28601E-05
0.011584552,4.80899E-05
0.013063627,5.39577E-05
0.014841365,6.05416E-05
0.016936261,6.79287E-05
0.019356601,7.62173E-05
0.022099276,8.55172E-05
0.025149165,9.59519E-05
0.02847917,0.00010766
0.032050954,0.000120796
0.035816362,0.000135536
0.0397195,0.000152074
0.043699408,0.000170629
0.047693196,0.000191449
0.051639512,0.00021481
0.055482139,0.00024102
0.059173502,0.000270429
0.062677838,0.000303427
0.065973781,0.00034045
0.069056178,0.000381991
0.071936982,0.000428601
0.074645138,0.000480899
0.077225456,0.000539577
0.079736487,0.000605416
0.08224747,0.000679287
0.084834457,0.000762173
0.087575742,0.000855172
0.090546818,0.000959519
0.093815101,0.001076598
0.09743475,0.001207963
0.101441897,0.001355357
0.105850615,0.001520735
0.11064986,0.001706293
0.115801585,0.001914492
0.12124013,0.002148095
0.126872923,0.002410203
0.132582494,0.002704292
0.138229707,0.003034266
0.143658114,0.003404502
0.14869919,0.003819914
0.153178201,0.004286014
0.156920346,0.004808987
0.159756808,0.005395772
0.161530331,0.006054156
0.1621,0.006792874
0.1621,0.00762173